timestamp,electricity_demand_mw
2025-02-21 02:00:00,2007.5
2025-12-04 21:00:00,3195.9
2025-03-06 23:00:00,2802.9
2025-05-31 21:00:00,3615.9
2025-12-07 15:00:00,2887.6
2025-03-03 03:00:00,2048.0
2025-08-17 15:00:00,2966.7
2025-01-10 06:00:00,1943.6
2025-05-19 05:00:00,2281.6
2025-05-11 07:00:00,2744.6
2025-10-11 11:00:00,2797.9
2025-07-15 09:00:00,2951.0
2025-04-23 17:00:00,3362.3
2025-01-14 06:00:00,1940.7
2025-01-14 21:00:00,3116.9
2025-06-22 00:00:00,2515.6
2025-04-25 12:00:00,3089.3
2025-03-30 21:00:00,3373.3
2025-12-29 16:00:00,3063.7
2025-02-14 12:00:00,2649.2
2025-01-14 03:00:00,1874.6
2025-05-16 20:00:00,3794.2
2025-04-23 11:00:00,3266.2
2025-02-06 02:00:00,1998.8
2025-01-10 05:00:00,1922.1
2025-03-09 15:00:00,2950.7
2025-08-19 11:00:00,3009.8
2025-02-04 12:00:00,2646.4
2025-06-20 04:00:00,2152.8
2025-05-16 23:00:00,2871.4
2025-11-05 09:00:00,2756.8
2025-06-04 14:00:00,3146.2
2025-04-18 20:00:00,3784.4
2025-08-10 23:00:00,2916.1
2025-06-16 07:00:00,2579.4
2025-08-10 06:00:00,2345.7
2025-08-11 03:00:00,2184.2
2025-12-28 17:00:00,2906.2
2025-02-28 08:00:00,2514.3
2025-04-24 17:00:00,3168.8
2025-09-21 05:00:00,1993.7
2025-05-09 06:00:00,2385.7
2025-07-17 23:00:00,2840.2
2025-03-31 02:00:00,2236.1
2025-04-10 12:00:00,3082.0
2025-03-16 07:00:00,2364.9
2025-05-23 10:00:00,3181.4
2025-05-19 07:00:00,2575.7
2025-10-09 15:00:00,3259.0
2025-05-04 08:00:00,2576.3
2025-07-04 02:00:00,2241.9
2025-06-01 01:00:00,2373.1
2025-03-19 16:00:00,2982.9
2025-12-02 01:00:00,2279.1
2025-10-21 22:00:00,3267.2
2025-09-29 11:00:00,3108.2
2025-07-13 03:00:00,2085.0
2025-12-25 18:00:00,3112.4
2025-03-01 01:00:00,2181.7
2025-07-12 21:00:00,3348.1
2025-04-25 18:00:00,3312.7
2025-06-13 00:00:00,2479.5
2025-08-08 15:00:00,3110.9
2025-09-08 03:00:00,2138.9
2025-09-24 00:00:00,2402.7
2025-08-22 21:00:00,3480.0
2025-10-04 23:00:00,2801.5
2025-03-24 13:00:00,2896.0
2025-05-29 21:00:00,3556.1
2025-09-03 10:00:00,3021.7
2025-07-30 08:00:00,2661.3
2025-04-28 04:00:00,2282.6
2025-01-04 08:00:00,2255.6
2025-05-25 04:00:00,2263.8
2025-03-28 23:00:00,2703.7
2025-10-30 12:00:00,2836.3
2025-06-08 11:00:00,2892.3
2025-02-15 04:00:00,1890.5
2025-06-13 09:00:00,2982.9
2025-10-07 23:00:00,2725.8
2025-09-02 18:00:00,3276.2
2025-07-13 19:00:00,3449.2
2025-12-23 07:00:00,2209.7
2025-02-11 18:00:00,3105.3
2025-07-16 00:00:00,2431.1
2025-09-27 10:00:00,2842.3
2025-01-16 00:00:00,2002.2
2025-02-10 00:00:00,2240.2
2025-12-19 12:00:00,2755.5
2025-10-02 08:00:00,2684.1
2025-08-24 07:00:00,2519.1
2025-09-27 09:00:00,2741.3
2025-11-28 02:00:00,2086.3
2025-01-25 16:00:00,2634.3
2025-03-09 00:00:00,2341.1
2025-10-21 14:00:00,3121.4
2025-09-09 17:00:00,3046.6
2025-09-23 19:00:00,3555.5
2025-11-21 03:00:00,2080.7
2025-02-14 15:00:00,2958.1
2025-01-01 14:00:00,2711.2
2025-04-18 01:00:00,2422.6
2025-02-23 23:00:00,2687.2
2025-09-14 11:00:00,2852.5
2025-08-16 10:00:00,2912.4
2025-10-06 11:00:00,3035.6
2025-10-29 03:00:00,2132.9
2025-10-07 09:00:00,2880.9
2025-06-10 02:00:00,2197.6
2025-04-10 15:00:00,3254.1
2025-06-10 07:00:00,2510.4
2025-01-04 23:00:00,2654.6
2025-02-25 14:00:00,2906.4
2025-01-23 10:00:00,2632.3
2025-03-22 06:00:00,2262.6
2025-01-29 10:00:00,2825.6
2025-01-24 02:00:00,1985.9
2025-12-28 16:00:00,2875.6
2025-02-13 02:00:00,1977.3
2025-05-18 09:00:00,3007.3
2025-01-28 16:00:00,2878.5
2025-04-10 01:00:00,2464.7
2025-10-05 16:00:00,2980.9
2025-06-14 19:00:00,3561.5
2025-12-27 06:00:00,2086.9
2025-02-28 14:00:00,2855.6
2025-11-16 01:00:00,2181.6
2025-07-25 00:00:00,2317.9
2025-07-07 18:00:00,3192.9
2025-12-11 20:00:00,3505.1
2025-12-07 02:00:00,2147.5
2025-11-29 16:00:00,2913.1
2025-11-26 04:00:00,1992.8
2025-11-22 20:00:00,3552.9
2025-07-06 07:00:00,2478.0
2025-07-10 08:00:00,2774.2
2025-04-09 23:00:00,2917.0
2025-04-30 08:00:00,2708.8
2025-07-26 09:00:00,2707.5
2025-09-26 13:00:00,2865.6
2025-12-27 16:00:00,2787.9
2025-10-07 10:00:00,2976.3
2025-05-22 13:00:00,3225.9
2025-06-24 13:00:00,3111.3
2025-02-27 04:00:00,1908.9
2025-08-01 09:00:00,2939.6
2025-03-31 13:00:00,2918.6
2025-03-05 18:00:00,3254.1
2025-04-20 11:00:00,3037.9
2025-06-13 20:00:00,3770.3
2025-06-16 19:00:00,3470.4
2025-03-01 13:00:00,2756.1
